0 0 0.523485
0.1 0.0519079 0.514673
0.2 0.102935 0.505861
0.3 0.15308 0.497049
0.4 0.202345 0.488237
0.5 0.250728 0.479426
0.6 0.29823 0.470614
0.7 0.34485 0.461802
0.8 0.39059 0.45299
0.9 0.435448 0.444178
1 0.479426 0.435366
1.1 0.522229 0.420702
1.2 0.563566 0.406038
1.3 0.603436 0.391374
1.4 0.641841 0.37671
1.5 0.678778 0.362045
1.6 0.71425 0.347381
1.7 0.748255 0.332717
1.8 0.780793 0.318053
1.9 0.811865 0.303389
2 0.841471 0.288725
2.1 0.869016 0.262185
2.2 0.893908 0.235645
2.3 0.916145 0.209104
2.4 0.935729 0.182564
2.5 0.952658 0.156024
2.6 0.966934 0.129484
2.7 0.978555 0.102944
2.8 0.987522 0.0764034
2.9 0.993836 0.0498632
3 0.997495 0.023323
3.1 0.998712 0.00101892
3.2 0.997699 -0.0212852
3.3 0.994455 -0.0435893
3.4 0.988981 -0.0658934
3.5 0.981276 -0.0881976
3.6 0.971341 -0.110502
3.7 0.959176 -0.132806
3.8 0.94478 -0.15511
3.9 0.928154 -0.177414
4 0.909297 -0.199718
4.1 0.888215 -0.22194
4.2 0.86491 -0.244161
4.3 0.839382 -0.266382
4.4 0.811633 -0.288604
4.5 0.781662 -0.310825
4.6 0.749468 -0.333047
4.7 0.715052 -0.355268
4.8 0.678414 -0.37749
4.9 0.639554 -0.399711
5 0.598472 -0.421932
5.1 0.555925 -0.429016
5.2 0.512669 -0.4361
5.3 0.468705 -0.443184
5.4 0.424032 -0.450268
5.5 0.378651 -0.457352
5.6 0.332562 -0.464436
5.7 0.285764 -0.47152
5.8 0.238258 -0.478604
5.9 0.190043 -0.485688
6 0.14112 -0.492772
6.1 0.0918515 -0.492598
6.2 0.0426004 -0.492424
6.3 -0.00663338 -0.492251
6.4 -0.0558498 -0.492077
6.5 -0.105049 -0.491903
6.6 -0.15423 -0.49173
6.7 -0.203395 -0.491556
6.8 -0.252542 -0.491382
6.9 -0.301671 -0.491208
7 -0.350783 -0.491035
7.1 -0.399037 -0.474032
7.2 -0.44559 -0.457028
7.3 -0.490442 -0.440025
7.4 -0.533595 -0.423022
7.5 -0.575047 -0.406019
7.6 -0.614798 -0.389016
7.7 -0.65285 -0.372013
7.8 -0.689201 -0.35501
7.9 -0.723852 -0.338007
8 -0.756802 -0.321004
8.1 -0.7879 -0.300949
8.2 -0.816992 -0.280893
8.3 -0.844079 -0.260838
8.4 -0.86916 -0.240783
8.5 -0.892235 -0.220728
8.6 -0.913305 -0.200672
8.7 -0.93237 -0.180617
8.8 -0.949429 -0.160562
8.9 -0.964482 -0.140507
9 -0.97753 -0.120451
9.1 -0.988185 -0.0926399
9.2 -0.996058 -0.0648285
9.3 -1.00115 -0.037017
9.4 -1.00346 -0.00920559
9.5 -1.00299 0.0186058
9.6 -0.99974 0.0464173
9.7 -0.993708 0.0742287
9.8 -0.984895 0.10204
9.9 -0.9733 0.129852
10 -0.958924 0.157663
10.1 -0.942201 0.176807
10.2 -0.923563 0.195951
10.3 -0.90301 0.215096
10.4 -0.880544 0.23424
10.5 -0.856163 0.253384
10.6 -0.829867 0.272528
10.7 -0.801657 0.291672
10.8 -0.771532 0.310817
10.9 -0.739494 0.329961
11 -0.70554 0.349105
11.1 -0.66986 0.364509
11.2 -0.632639 0.379913
11.3 -0.593877 0.395317
11.4 -0.553575 0.410721
11.5 -0.511733 0.426125
11.6 -0.46835 0.441529
11.7 -0.423427 0.456933
11.8 -0.376964 0.472337
11.9 -0.32896 0.487741
12 -0.279415 0.503145
12.1 -0.229187 0.501423
12.2 -0.179131 0.499701
12.3 -0.129247 0.497979
12.4 -0.0795351 0.496257
12.5 -0.0299954 0.494535
12.6 0.019372 0.492814
12.7 0.0685673 0.491092
12.8 0.11759 0.48937
12.9 0.166441 0.487648
13 0.21512 0.485926
13.1 0.263272 0.477114
13.2 0.310543 0.468302
13.3 0.356932 0.45949
13.4 0.402441 0.450679
13.5 0.447068 0.441867
13.6 0.490814 0.433055
13.7 0.533679 0.424243
13.8 0.575663 0.415431
13.9 0.616765 0.406619
14 0.656987 0.397807
